tensor(0.1023, device='cuda:0')   40
tensor(0.1507, device='cuda:0')   40
tensor(0.0682, device='cuda:0')   40
tensor(0.1184, device='cuda:0')   40
tensor(0.0894, device='cuda:0')   40
tensor(0.1329, device='cuda:0')   40
tensor(0.1427, device='cuda:0')   40
tensor(0.1004, device='cuda:0')   40
tensor(0.1174, device='cuda:0')   40
tensor(0.0469, device='cuda:0')   40
tensor(0.1211, device='cuda:0')   40
tensor(0.0765, device='cuda:0')   40
tensor(0.1190, device='cuda:0')   40
tensor(0.0903, device='cuda:0')   40
tensor(0.1092, device='cuda:0')   40
tensor(0.1529, device='cuda:0')   45
tensor(0.1802, device='cuda:0')   45
tensor(0.2020, device='cuda:0')   45
tensor(0.2234, device='cuda:0')   45
tensor(0.0487, device='cuda:0')   45
tensor(0.1630, device='cuda:0')   45
tensor(0.1430, device='cuda:0')   45
tensor(0.1154, device='cuda:0')   45
tensor(0.2216, device='cuda:0')   45
tensor(0.2048, device='cuda:0')   45
tensor(0.1204, device='cuda:0')   45
tensor(0.1302, device='cuda:0')   45
tensor(0.0927, device='cuda:0')   45
tensor(0.1067, device='cuda:0')   45
tensor(0.2396, device='cuda:0')   45
tensor(0.1741, device='cuda:0')   45
tensor(0.2364, device='cuda:0')   45
tensor(0.1301, device='cuda:0')   45
tensor(0.1912, device='cuda:0')   45
tensor(0.1105, device='cuda:0')   45
tensor(0.1871, device='cuda:0')   45
tensor(0.1387, device='cuda:0')   45
tensor(0.1150, device='cuda:0')   45
tensor(0.1782, device='cuda:0')   45
tensor(0.1093, device='cuda:0')   45
tensor(0.1245, device='cuda:0')   50
tensor(0.1001, device='cuda:0')   50
tensor(0.1394, device='cuda:0')   50
tensor(0.1022, device='cuda:0')   50
tensor(0.1135, device='cuda:0')   50
tensor(0.2204, device='cuda:0')   50
tensor(0.1894, device='cuda:0')   50
tensor(0.1325, device='cuda:0')   50
tensor(0.1881, device='cuda:0')   50
tensor(0.1730, device='cuda:0')   50
tensor(0.1224, device='cuda:0')   50
tensor(0.1965, device='cuda:0')   50
